iter 706: loss 29.443869179726413, worst_drop 0.020567558507386785, total_drop_violation 0.0031756073856430284, tsv_count 2912.630859375
iter 707: loss 29.10174880123792, worst_drop 0.020068543920582327, total_drop_violation 6.854392058232642e-05, tsv_count 2909.489501953125
iter 708: loss 29.34529740774088, worst_drop 0.02096385894361119, total_drop_violation 0.002717386003678334, tsv_count 2907.35595703125
iter 709: loss 29.383236105547386, worst_drop 0.020521946823147674, total_drop_violation 0.003237001253227758, tsv_count 2905.95361328125
iter 710: loss 29.06769034062174, worst_drop 0.02005783526046545, total_drop_violation 5.783526046545043e-05, tsv_count 2906.190673828125
iter 711: loss 31.66138696545454, worst_drop 0.02312705132127557, total_drop_violation 0.02513908861816843, tsv_count 2914.747802734375
iter 712: loss 29.095620206846064, worst_drop 0.02062111657775134, total_drop_violation 0.001521101513040704, tsv_count 2894.35107421875
iter 713: loss 29.526006710577676, worst_drop 0.021105772391063482, total_drop_violation 0.004861316800600989, tsv_count 2903.987548828125
iter 714: loss 29.315562300748994, worst_drop 0.020807864492649375, total_drop_violation 0.0016217713839547648, tsv_count 2915.338623046875
iter 715: loss 29.043442696649386, worst_drop 0.020109851413003366, total_drop_violation 0.00015030831415011742, tsv_count 2902.84130859375
iter 716: loss 29.209989649197325, worst_drop 0.021007884378344888, total_drop_violation 0.002442837776152944, tsv_count 2896.570556640625
iter 717: loss 29.223860884427012, worst_drop 0.020678765426221046, total_drop_violation 0.0007213320803541104, tsv_count 2915.1728515625
iter 718: loss 29.454918545662125, worst_drop 0.020982514371399863, total_drop_violation 0.004925600709306796, tsv_count 2896.23583984375
iter 719: loss 29.154820493074023, worst_drop 0.020315840971666055, total_drop_violation 0.0006644158682402278, tsv_count 2908.837890625
iter 720: loss 32.8012238798271, worst_drop 0.022411153328933398, total_drop_violation 0.03871191149724562, tsv_count 2893.00341796875
iter 721: loss 29.54226409388977, worst_drop 0.021961203681513553, total_drop_violation 0.006281672616143808, tsv_count 2891.40966796875
iter 722: loss 28.891861982242673, worst_drop 0.020249267091995482, total_drop_violation 0.0006337649335107082, tsv_count 2882.8486328125
iter 723: loss 29.433524577417558, worst_drop 0.021030996785903366, total_drop_violation 0.004451517746831821, tsv_count 2898.83740234375
iter 724: loss 29.03020350363984, worst_drop 0.02016847496095109, total_drop_violation 0.000241934480978475, tsv_count 2900.60107421875
iter 725: loss 28.82107244663866, worst_drop 0.02018494754165079, total_drop_violation 0.00034216749006824726, tsv_count 2878.685546875
iter 726: loss 28.855578256189773, worst_drop 0.020113886249316093, total_drop_violation 0.00020468545496413887, tsv_count 2883.510986328125
iter 727: loss 31.54469088068182, worst_drop 0.023754283590278202, total_drop_violation 0.027981050347345538, tsv_count 2874.65869140625
iter 728: loss 29.117427764408912, worst_drop 0.0206033128308567, total_drop_violation 0.0006033128308567011, tsv_count 2905.709716796875
iter 729: loss 34.380447096851135, worst_drop 0.02628733009345552, total_drop_violation 0.05670642561939024, tsv_count 2870.98046875
iter 730: loss 29.403662405633867, worst_drop 0.021558394910166756, total_drop_violation 0.005881259066104306, tsv_count 2881.5537109375
iter 731: loss 33.22307649181151, worst_drop 0.023566584166514803, total_drop_violation 0.04298512130239243, tsv_count 2892.45654296875
iter 732: loss 29.038283599088142, worst_drop 0.020971782462860022, total_drop_violation 0.0013414884872193188, tsv_count 2890.41357421875
iter 733: loss 28.97091127045657, worst_drop 0.020637022331001398, total_drop_violation 0.0014980912812258516, tsv_count 2882.1103515625
iter 734: loss 28.795814514160156, worst_drop 0.019834527473744923, total_drop_violation 0.0, tsv_count 2879.58154296875
iter 735: loss 29.202281432452672, worst_drop 0.02169313102385506, total_drop_violation 0.004881472161440786, tsv_count 2871.41357421875
iter 736: loss 28.77995677111407, worst_drop 0.02017656749760177, total_drop_violation 0.000280074608113353, tsv_count 2875.195068359375
iter 737: loss 30.475910120002084, worst_drop 0.021290451961043955, total_drop_violation 0.016716498660958323, tsv_count 2880.426025390625
iter 738: loss 28.59503936767578, worst_drop 0.01999314281139586, total_drop_violation 0.0, tsv_count 2859.50390625
iter 739: loss 29.2725946494387, worst_drop 0.021525253000005296, total_drop_violation 0.004423811026857731, tsv_count 2883.021484375
iter 740: loss 34.309943544880454, worst_drop 0.024681011480801485, total_drop_violation 0.05722243654743733, tsv_count 2858.77001953125
iter 741: loss 28.71037005177228, worst_drop 0.020018358110496237, total_drop_violation 1.835811049623673e-05, tsv_count 2870.853515625
iter 742: loss 35.41191667848024, worst_drop 0.0243580054788185, total_drop_violation 0.06939920371107192, tsv_count 2847.19970703125
iter 743: loss 28.871598820825056, worst_drop 0.02019861235356435, total_drop_violation 0.000345874835447825, tsv_count 2883.701171875
iter 744: loss 28.973442535062908, worst_drop 0.021063443036750895, total_drop_violation 0.004862522884808752, tsv_count 2848.718994140625
iter 745: loss 29.517764441317286, worst_drop 0.02184262565691475, total_drop_violation 0.007694448154627945, tsv_count 2874.83203125
iter 746: loss 28.771967968250628, worst_drop 0.0205219283082122, total_drop_violation 0.0011868771007191616, tsv_count 2865.328125
iter 747: loss 28.63040270546676, worst_drop 0.020478658706702957, total_drop_violation 0.0010955919960738553, tsv_count 2852.08447265625
iter 748: loss 28.932607861219864, worst_drop 0.0213943811838192, total_drop_violation 0.005601923186173238, tsv_count 2837.24169921875
iter 749: loss 28.598303168977907, worst_drop 0.02030529150944993, total_drop_violation 0.0003530725833337592, tsv_count 2856.299560546875
iter 750: loss 31.204629601056524, worst_drop 0.02320813822497403, total_drop_violation 0.028085533986639478, tsv_count 2839.607666015625
iter 751: loss 30.28191818333697, worst_drop 0.022670009710568317, total_drop_violation 0.017045751962764227, tsv_count 2857.734375
iter 752: loss 38.73949640992219, worst_drop 0.0243345005946648, total_drop_violation 0.10103771388559887, tsv_count 2863.572509765625
