nohup: ignoring input
iter 54: loss 10.4909264552824, worst_drop 0.022787369904404664, total_drop_violation 0.019055430400602327, tsv_count 858.5383911132812
iter 55: loss 8.712406158447266, worst_drop 0.019357704883470883, total_drop_violation 0.0, tsv_count 871.2406005859375
iter 56: loss 8.937607306213303, worst_drop 0.02048576164082616, total_drop_violation 0.0006651546356193708, tsv_count 887.1091918945312
iter 57: loss 8.749302864074707, worst_drop 0.01939279601289512, total_drop_violation 0.0, tsv_count 874.9302978515625
iter 58: loss 9.204153060913086, worst_drop 0.01967921453127308, total_drop_violation 0.0, tsv_count 920.415283203125
iter 59: loss 9.757613181189992, worst_drop 0.021649837719001752, total_drop_violation 0.005799427023691919, tsv_count 917.7670288085938
iter 60: loss 9.861300842718236, worst_drop 0.020940297071224245, total_drop_violation 0.0028331507916843114, tsv_count 957.798583984375
iter 61: loss 10.625930771414513, worst_drop 0.021407870848896282, total_drop_violation 0.013011226506869731, tsv_count 932.4808349609375
iter 62: loss 10.237892639723192, worst_drop 0.02101421831433925, total_drop_violation 0.004827790380386211, tsv_count 975.5114135742188
iter 63: loss 9.511423110961914, worst_drop 0.019611965887743166, total_drop_violation 0.0, tsv_count 951.142333984375
iter 64: loss 9.632135443140315, worst_drop 0.02014541557154148, total_drop_violation 0.0002001862948064828, tsv_count 961.2117309570312
iter 65: loss 10.00686830851761, worst_drop 0.020500453788107165, total_drop_violation 0.0022323412272659444, tsv_count 978.3634033203125
iter 66: loss 9.73147964477539, worst_drop 0.01954468331500081, total_drop_violation 0.0, tsv_count 973.14794921875
iter 67: loss 10.43482550313576, worst_drop 0.021177216688944123, total_drop_violation 0.007528844707260934, tsv_count 968.1941528320312
iter 68: loss 9.770380020141602, worst_drop 0.019554587815271085, total_drop_violation 0.0, tsv_count 977.0380249023438
iter 69: loss 9.868276959042536, worst_drop 0.020100406461763254, total_drop_violation 0.00010040646176325344, tsv_count 985.8236083984375
iter 70: loss 10.119898736025373, worst_drop 0.020433338150830593, total_drop_violation 0.0019273942663816587, tsv_count 992.7159423828125
iter 71: loss 10.246551133703639, worst_drop 0.02061261279850546, total_drop_violation 0.0028365001828615857, tsv_count 996.2901611328125
iter 72: loss 13.30257054809487, worst_drop 0.021829571521352342, total_drop_violation 0.03347004141844871, tsv_count 995.556640625
iter 73: loss 15.843588007502102, worst_drop 0.022567233816793153, total_drop_violation 0.05910952700190091, tsv_count 993.2635498046875
iter 74: loss 10.473090917765044, worst_drop 0.021956342519558247, total_drop_violation 0.00661219389139555, tsv_count 981.1871337890625
iter 75: loss 11.119691739909909, worst_drop 0.021729772972897354, total_drop_violation 0.015108794077565879, tsv_count 960.8812866210938
iter 76: loss 10.54193929129747, worst_drop 0.021237207431566207, total_drop_violation 0.007512774794688579, tsv_count 979.0662231445312
iter 77: loss 9.832146644592285, worst_drop 0.019968112190875464, total_drop_violation 0.0, tsv_count 983.2146606445312
iter 78: loss 11.360077404123476, worst_drop 0.02173173730845701, total_drop_violation 0.012128291359960353, tsv_count 1014.724853515625
iter 79: loss 12.60994876236487, worst_drop 0.02249424758008145, total_drop_violation 0.02867053636022096, tsv_count 974.28955078125
iter 80: loss 9.996645049707304, worst_drop 0.020149555081661163, total_drop_violation 0.0002010639156521457, tsv_count 997.6538696289062
iter 81: loss 9.796605924835097, worst_drop 0.020036533872984763, total_drop_violation 3.6533872984762655e-05, tsv_count 979.2952880859375
iter 82: loss 16.690763498956528, worst_drop 0.022311497689277315, total_drop_violation 0.07018696810418931, tsv_count 967.2066650390625
iter 83: loss 18.566623190094123, worst_drop 0.023454645349093695, total_drop_violation 0.08409329870391975, tsv_count 1015.7293701171875
iter 84: loss 10.079183755527211, worst_drop 0.02043108735453847, total_drop_violation 0.0010925024570055154, tsv_count 996.993408203125
iter 85: loss 9.729263305664062, worst_drop 0.018617974619462796, total_drop_violation 0.0, tsv_count 972.9263916015625
iter 86: loss 10.22740106518711, worst_drop 0.021016179392697842, total_drop_violation 0.005502388947769523, tsv_count 967.7162475585938
iter 87: loss 9.904719352722168, worst_drop 0.019822870231990586, total_drop_violation 0.0, tsv_count 990.471923828125
iter 88: loss 11.049750658025836, worst_drop 0.021795188738156113, total_drop_violation 0.01012085290899371, tsv_count 1003.7665405273438
iter 89: loss 10.139262199401855, worst_drop 0.018261681542063424, total_drop_violation 0.0, tsv_count 1013.92626953125
iter 90: loss 18.276067196325634, worst_drop 0.02794214639554149, total_drop_violation 0.08632276951269484, tsv_count 964.3790283203125
iter 91: loss 9.669163703918457, worst_drop 0.018563480219857875, total_drop_violation 0.0, tsv_count 966.9163818359375
iter 92: loss 10.328528953359733, worst_drop 0.02123383720664529, total_drop_violation 0.0064027841167272025, tsv_count 968.8250732421875
iter 93: loss 9.71499252319336, worst_drop 0.019710213089319084, total_drop_violation 0.0, tsv_count 971.499267578125
iter 94: loss 9.500466346740723, worst_drop 0.01879596514178583, total_drop_violation 0.0, tsv_count 950.0466918945312
iter 95: loss 9.586498260498047, worst_drop 0.018914024052450906, total_drop_violation 0.0, tsv_count 958.6498413085938
iter 96: loss 9.726681202831603, worst_drop 0.020135225953486935, total_drop_violation 0.00013522595348693447, tsv_count 971.31591796875
iter 97: loss 9.568134307861328, worst_drop 0.019237983096331845, total_drop_violation 0.0, tsv_count 956.8134765625
iter 98: loss 9.976913456669246, worst_drop 0.02107768973017443, total_drop_violation 0.004025974318889729, tsv_count 957.431640625
iter 99: loss 9.662099838256836, worst_drop 0.01952759069741894, total_drop_violation 0.0, tsv_count 966.2099609375
iter 100: loss 108.25949520726813, worst_drop 0.02866241619554255, total_drop_violation 1.0003342098851813, tsv_count 822.6074829101562
iter 101: loss 22.891464792902898, worst_drop 0.02639161177742444, total_drop_violation 0.14965003096278143, tsv_count 792.6461791992188
iter 102: loss 10.081515528458262, worst_drop 0.022488091370269858, total_drop_violation 0.018813240306555262, tsv_count 820.0191650390625
iter 103: loss 26.682687465773476, worst_drop 0.027395336271154758, total_drop_violation 0.18550086681471717, tsv_count 813.2601318359375
iter 104: loss 23.386810532139293, worst_drop 0.025391738378861772, total_drop_violation 0.1544989275030946, tsv_count 793.6917724609375
iter 105: loss 9.424953238695345, worst_drop 0.02132737009856356, total_drop_violation 0.010212638542348957, tsv_count 840.3689575195312
iter 106: loss 9.330696459400526, worst_drop 0.0214672798715968, total_drop_violation 0.006852105814098029, tsv_count 864.5486450195312
iter 107: loss 13.223733019597987, worst_drop 0.02412072132223575, total_drop_violation 0.04896514963872888, tsv_count 832.7218627929688
iter 108: loss 8.781451189170122, worst_drop 0.020798422093171287, total_drop_violation 0.0033894249166035555, tsv_count 844.2509155273438
iter 109: loss 9.220166785992221, worst_drop 0.020831693393791983, total_drop_violation 0.006259533002744479, tsv_count 859.42138671875
iter 110: loss 10.00119870334345, worst_drop 0.021497172667593656, total_drop_violation 0.010162762942858325, tsv_count 898.4922485351562
iter 111: loss 9.910287322884617, worst_drop 0.020939002309917076, total_drop_violation 0.00995216789132176, tsv_count 891.507080078125
iter 112: loss 9.098257079535454, worst_drop 0.020527687208575007, total_drop_violation 0.0015468026679131414, tsv_count 894.3577270507812
iter 113: loss 12.663479866919587, worst_drop 0.022118345280584095, total_drop_violation 0.03750506462988924, tsv_count 891.29736328125
iter 114: loss 10.860359791603043, worst_drop 0.022690833110008413, total_drop_violation 0.019603592193984536, tsv_count 890.0001220703125
iter 115: loss 9.539260111350924, worst_drop 0.020809010566584796, total_drop_violation 0.0020378514339438013, tsv_count 933.5475463867188
iter 116: loss 9.714405278481632, worst_drop 0.021245586510652337, total_drop_violation 0.0033380816391864326, tsv_count 938.0597534179688
iter 117: loss 9.932931686631703, worst_drop 0.02176841673786456, total_drop_violation 0.005049274218001602, tsv_count 942.8004760742188
iter 118: loss 9.601739764894749, worst_drop 0.020723911790128335, total_drop_violation 0.001306332356589092, tsv_count 947.1107177734375
iter 119: loss 11.097882500481926, worst_drop 0.02217807146213313, total_drop_violation 0.01597165337395988, tsv_count 950.07177734375
iter 120: loss 10.380199601163278, worst_drop 0.02189360041895938, total_drop_violation 0.006155854959386687, tsv_count 976.46142578125
iter 121: loss 9.912415183153078, worst_drop 0.020765778104739785, total_drop_violation 0.0026234022435180845, tsv_count 965.0075073242188
iter 122: loss 9.623800103837032, worst_drop 0.020323866059122286, total_drop_violation 0.00032386605912228597, tsv_count 959.141357421875
iter 123: loss 10.231650385274861, worst_drop 0.021274995772044503, total_drop_violation 0.006506586402797446, tsv_count 958.0992431640625
iter 124: loss 9.58040714263916, worst_drop 0.01983497804034917, total_drop_violation 0.0, tsv_count 958.0407104492188
iter 125: loss 10.284464284244406, worst_drop 0.020754335580589478, total_drop_violation 0.00361797734561789, tsv_count 992.2667236328125
iter 126: loss 10.377579123103835, worst_drop 0.02161003880637169, total_drop_violation 0.004763845506551043, tsv_count 990.1194458007812
iter 127: loss 9.788731263328778, worst_drop 0.020445438347917566, total_drop_violation 0.0010101764028190262, tsv_count 968.7713623046875
iter 128: loss 9.873301023529375, worst_drop 0.02048922509052553, total_drop_violation 0.0009306382565339964, tsv_count 978.0237426757812
iter 129: loss 9.644254126634406, worst_drop 0.020360378409288393, total_drop_violation 0.00036037840928839285, tsv_count 960.8216552734375
iter 130: loss 9.983319282531738, worst_drop 0.018665734592657635, total_drop_violation 0.0, tsv_count 998.3319702148438
iter 131: loss 12.396268816403186, worst_drop 0.02333007795159958, total_drop_violation 0.024871978477752556, tsv_count 990.9071044921875
iter 132: loss 10.498037472423892, worst_drop 0.021271692740699955, total_drop_violation 0.008701707274287748, tsv_count 962.7867431640625
iter 133: loss 10.891398941473664, worst_drop 0.021722588700142986, total_drop_violation 0.012853379597231759, tsv_count 960.6060791015625
iter 134: loss 10.026188285043458, worst_drop 0.020598086034511853, total_drop_violation 0.0015541592328808772, tsv_count 987.0772705078125
iter 135: loss 17.14516969383015, worst_drop 0.02237344650605233, total_drop_violation 0.07228558022382398, tsv_count 991.6611938476562
iter 136: loss 9.798070907592773, worst_drop 0.019812028122757175, total_drop_violation 0.0, tsv_count 979.80712890625
iter 137: loss 11.569106931129367, worst_drop 0.022061658383391913, total_drop_violation 0.019158610052260473, tsv_count 965.3245849609375
iter 138: loss 9.559369087219238, worst_drop 0.019758609609934252, total_drop_violation 0.0, tsv_count 955.9369506835938
iter 139: loss 9.90885066986084, worst_drop 0.01959127097219182, total_drop_violation 0.0, tsv_count 990.8850708007812
iter 140: loss 10.098339815599926, worst_drop 0.021295072721478125, total_drop_violation 0.003196475701165283, tsv_count 977.8692626953125
iter 141: loss 13.538021670772475, worst_drop 0.0227717706981575, total_drop_violation 0.038628049959677876, tsv_count 967.521728515625
iter 142: loss 10.219045578459339, worst_drop 0.021540280251988175, total_drop_violation 0.005422257771287714, tsv_count 967.6820068359375
iter 143: loss 9.716544268116783, worst_drop 0.020621897466347017, total_drop_violation 0.0013947880028231038, tsv_count 957.70654296875
iter 144: loss 9.680177688598633, worst_drop 0.01928405077796136, total_drop_violation 0.0, tsv_count 968.017822265625
iter 145: loss 12.17540909905819, worst_drop 0.02247403718320007, total_drop_violation 0.02668187877134362, tsv_count 950.72216796875
iter 146: loss 9.777770042419434, worst_drop 0.019833922347426203, total_drop_violation 0.0, tsv_count 977.7770385742188
iter 147: loss 9.677082002489028, worst_drop 0.020388194623059852, total_drop_violation 0.00111163080064711, tsv_count 956.5919189453125
iter 148: loss 25.574407098813772, worst_drop 0.025677979672857676, total_drop_violation 0.15718236444516895, tsv_count 985.6170654296875
iter 149: loss 10.799540264224614, worst_drop 0.022960576840509117, total_drop_violation 0.012404372521396523, tsv_count 955.9102783203125
iter 150: loss 39.56209221322483, worst_drop 0.026629887408124664, total_drop_violation 0.30958057789396703, tsv_count 860.4035034179688
iter 151: loss 34.32181755157326, worst_drop 0.02556139322255091, total_drop_violation 0.25950868760069357, tsv_count 837.0949096679688
iter 152: loss 19.30447214536922, worst_drop 0.02369758609137218, total_drop_violation 0.10481407341292073, tsv_count 882.3065185546875
iter 153: loss 25.024364327283966, worst_drop 0.023974238899911793, total_drop_violation 0.1641386589893924, tsv_count 861.0498657226562
iter 154: loss 42.594937652491986, worst_drop 0.02809198394869672, total_drop_violation 0.33668724388026655, tsv_count 892.621337890625
iter 155: loss 12.488313567285656, worst_drop 0.022818277700927814, total_drop_violation 0.03049678694849133, tsv_count 943.863525390625
iter 156: loss 11.921588116714748, worst_drop 0.022659306306327065, total_drop_violation 0.02579911404678615, tsv_count 934.1676635742188
iter 157: loss 12.003774632994405, worst_drop 0.02259645745213934, total_drop_violation 0.027673149009387416, tsv_count 923.64599609375
iter 158: loss 11.739816247250392, worst_drop 0.02177928688830799, total_drop_violation 0.0244425827148135, tsv_count 929.5557861328125
iter 159: loss 13.580082720111815, worst_drop 0.02483958655175944, total_drop_violation 0.04017520731281248, tsv_count 956.2562255859375
iter 160: loss 20.637606824200933, worst_drop 0.024508092484198163, total_drop_violation 0.10661898816388433, tsv_count 997.5708618164062
iter 161: loss 10.32177818986697, worst_drop 0.0207097023859254, total_drop_violation 0.001168841240100374, tsv_count 1020.4894409179688
iter 162: loss 11.031862570835319, worst_drop 0.021648843886715397, total_drop_violation 0.006410792608987959, tsv_count 1039.078369140625
iter 163: loss 10.56352424621582, worst_drop 0.01937279862546515, total_drop_violation 0.0, tsv_count 1056.3524169921875
iter 164: loss 11.350471779715791, worst_drop 0.0211245426120249, total_drop_violation 0.0070014886559225595, tsv_count 1065.0323486328125
iter 165: loss 11.027749061584473, worst_drop 0.019225681414027584, total_drop_violation 0.0, tsv_count 1102.77490234375
iter 166: loss 11.475612436802585, worst_drop 0.020806110830504432, total_drop_violation 0.0048140886929770275, tsv_count 1099.42041015625
iter 167: loss 11.213348388671875, worst_drop 0.01993210556847891, total_drop_violation 0.0, tsv_count 1121.3348388671875
iter 168: loss 11.029428889044397, worst_drop 0.020079874293886357, total_drop_violation 7.987429388635683e-05, tsv_count 1102.1441650390625
iter 169: loss 11.238322659589617, worst_drop 0.020286094649101805, total_drop_violation 0.0006604616270240969, tsv_count 1117.2276611328125
iter 170: loss 11.37434331614545, worst_drop 0.020381752148196375, total_drop_violation 0.0004217282969525629, tsv_count 1133.217041015625
iter 171: loss 13.94552670834791, worst_drop 0.023737906824306654, total_drop_violation 0.023226829659773036, tsv_count 1162.284423828125
iter 172: loss 13.8205025297964, worst_drop 0.023276297434879245, total_drop_violation 0.022502663237417116, tsv_count 1157.023681640625
iter 173: loss 16.505148487327794, worst_drop 0.02491879446423817, total_drop_violation 0.04718002872703771, tsv_count 1178.714599609375
iter 174: loss 11.94034194946289, worst_drop 0.018627656028380124, total_drop_violation 0.0, tsv_count 1194.0341796875
iter 175: loss 11.801491737365723, worst_drop 0.019891726275392818, total_drop_violation 0.0, tsv_count 1180.149169921875
iter 176: loss 12.465298840873677, worst_drop 0.02129923877167439, total_drop_violation 0.009592563604049274, tsv_count 1150.604248046875
iter 177: loss 11.615248680114746, worst_drop 0.01997720265165126, total_drop_violation 0.0, tsv_count 1161.52490234375
iter 178: loss 12.258971030510244, worst_drop 0.020671704516826983, total_drop_violation 0.004635894844897369, tsv_count 1179.5382080078125
iter 179: loss 12.017569496505441, worst_drop 0.021050860083971612, total_drop_violation 0.0032669062840241445, tsv_count 1169.087890625
iter 180: loss 13.77268771616536, worst_drop 0.0224145947785106, total_drop_violation 0.017785957285554967, tsv_count 1199.4091796875
iter 181: loss 14.344392404245635, worst_drop 0.02247723708460858, total_drop_violation 0.021950765702002252, tsv_count 1214.931640625
iter 182: loss 11.521788987974238, worst_drop 0.020099767778912314, total_drop_violation 9.976777891231373e-05, tsv_count 1151.1812744140625
iter 183: loss 11.532473502087083, worst_drop 0.020380515431637436, total_drop_violation 0.00038051543163743554, tsv_count 1149.4422607421875
iter 184: loss 14.617419920396173, worst_drop 0.02385040282632711, total_drop_violation 0.029326130966657045, tsv_count 1168.480712890625
iter 185: loss 11.749220848083496, worst_drop 0.01986934604762991, total_drop_violation 0.0, tsv_count 1174.922119140625
iter 186: loss 12.550988090959743, worst_drop 0.02164292116657618, total_drop_violation 0.0037161053511257577, tsv_count 1217.937744140625
iter 187: loss 13.09991461494995, worst_drop 0.021683324715642827, total_drop_violation 0.01141212527547606, tsv_count 1195.8702392578125
iter 188: loss 11.544702045178754, worst_drop 0.021016609923076857, total_drop_violation 0.0011040162251029738, tsv_count 1143.4300537109375
iter 189: loss 11.877724647521973, worst_drop 0.01794935706514711, total_drop_violation 0.0, tsv_count 1187.7724609375
iter 190: loss 12.184488437194387, worst_drop 0.0205006690128523, total_drop_violation 0.0008654227020219972, tsv_count 1209.794677734375
iter 191: loss 11.699604287316673, worst_drop 0.02028566613366478, total_drop_violation 0.000285666133664781, tsv_count 1167.103759765625
iter 192: loss 12.883049046671587, worst_drop 0.022139753174828747, total_drop_violation 0.018064175006510804, tsv_count 1107.6632080078125
iter 193: loss 11.794842494226598, worst_drop 0.02050869672925426, total_drop_violation 0.0008257366488089515, tsv_count 1171.2269287109375
iter 194: loss 15.755908386315946, worst_drop 0.02384837434814302, total_drop_violation 0.04322052375878935, tsv_count 1143.3856201171875
iter 195: loss 11.695029258728027, worst_drop 0.019952828182329352, total_drop_violation 0.0, tsv_count 1169.5029296875
iter 196: loss 12.158957146585587, worst_drop 0.021475290083440957, total_drop_violation 0.004523750771886152, tsv_count 1170.658203125
iter 197: loss 11.686591148376465, worst_drop 0.019397181315258916, total_drop_violation 0.0, tsv_count 1168.6591796875
iter 198: loss 11.837927319557437, worst_drop 0.020626202865947296, total_drop_violation 0.0014047191336847252, tsv_count 1169.74560546875
iter 199: loss 11.504586219787598, worst_drop 0.019653464513775143, total_drop_violation 0.0, tsv_count 1150.4586181640625
iter 200: loss 22.865986765468946, worst_drop 0.02301084773110529, total_drop_violation 0.12309218348110547, tsv_count 1055.6768798828125
iter 201: loss 42.87420506105338, worst_drop 0.026527319495365798, total_drop_violation 0.3253776974306022, tsv_count 1033.6435546875
iter 202: loss 28.594508997928173, worst_drop 0.024079858029742107, total_drop_violation 0.17649051539432078, tsv_count 1094.5457763671875
iter 203: loss 17.614780418226267, worst_drop 0.023309287822606883, total_drop_violation 0.06612792960950878, tsv_count 1100.19873046875
iter 204: loss 26.683082062853615, worst_drop 0.026899640391957802, total_drop_violation 0.16042870003832618, tsv_count 1064.021240234375
iter 205: loss 11.418515693197214, worst_drop 0.02164310751292131, total_drop_violation 0.003438906779384257, tsv_count 1107.4625244140625
iter 206: loss 16.53175238444737, worst_drop 0.023616451311034292, total_drop_violation 0.053656051523917045, tsv_count 1116.61474609375
iter 207: loss 12.895192087178364, worst_drop 0.022217111138615686, total_drop_violation 0.012727488880206493, tsv_count 1162.244384765625
iter 208: loss 11.958987779040688, worst_drop 0.021165368674492036, total_drop_violation 0.0026227623881852034, tsv_count 1169.671142578125
iter 209: loss 13.09828216185453, worst_drop 0.022445050616375695, total_drop_violation 0.013228066598403702, tsv_count 1177.547607421875
iter 210: loss 12.361054038508694, worst_drop 0.021298880395409947, total_drop_violation 0.002655511851151402, tsv_count 1209.55029296875
iter 211: loss 18.166670455107088, worst_drop 0.023769306270565838, total_drop_violation 0.05954973830351227, tsv_count 1221.169677734375
iter 212: loss 12.78620728750951, worst_drop 0.02127513938521275, total_drop_violation 0.0049814519186742075, tsv_count 1228.8062744140625
iter 213: loss 12.99437222701881, worst_drop 0.021726255377627623, total_drop_violation 0.005025452159104115, tsv_count 1249.1827392578125
iter 214: loss 13.4813672127978, worst_drop 0.02152830260661842, total_drop_violation 0.003794632973925266, tsv_count 1310.1904296875
iter 215: loss 15.419085154644348, worst_drop 0.02147793315935642, total_drop_violation 0.02910560259929992, tsv_count 1250.8525390625
iter 216: loss 13.722517701940266, worst_drop 0.0224020917117963, total_drop_violation 0.00995279046849933, tsv_count 1272.723876953125
iter 217: loss 12.864194869995117, worst_drop 0.019977868156702994, total_drop_violation 0.0, tsv_count 1286.4195556640625
iter 218: loss 15.034431570212622, worst_drop 0.02239567914331453, total_drop_violation 0.020661984616921144, tsv_count 1296.8233642578125
iter 219: loss 24.54637679378314, worst_drop 0.026284905326070196, total_drop_violation 0.10890823929708432, tsv_count 1365.5552978515625
iter 220: loss 13.700016074301645, worst_drop 0.021037436697806666, total_drop_violation 0.004206734229344582, tsv_count 1327.934326171875
iter 221: loss 16.917617377962117, worst_drop 0.02396872285068119, total_drop_violation 0.03628977355684285, tsv_count 1328.864013671875
iter 222: loss 14.79494099915037, worst_drop 0.02172631125729063, total_drop_violation 0.009755697757006639, tsv_count 1381.9371337890625
iter 223: loss 13.30940923991736, worst_drop 0.020284815818363056, total_drop_violation 0.00028481581836305517, tsv_count 1328.0927734375
iter 224: loss 19.130310402215652, worst_drop 0.022092814603847932, total_drop_violation 0.054640353778015904, tsv_count 1366.6275634765625
iter 225: loss 13.917638666728644, worst_drop 0.020712355691777096, total_drop_violation 0.0010915172825208229, tsv_count 1380.8487548828125
iter 226: loss 14.738013216722969, worst_drop 0.021979906217351686, total_drop_violation 0.010728253810296094, tsv_count 1366.518798828125
iter 227: loss 15.848338737271758, worst_drop 0.024092984408982554, total_drop_violation 0.023151461026892382, tsv_count 1353.3193359375
iter 228: loss 14.364689224377928, worst_drop 0.02086271131724249, total_drop_violation 0.002895110780156227, tsv_count 1407.517822265625
iter 229: loss 13.364384651184082, worst_drop 0.019852373308794524, total_drop_violation 0.0, tsv_count 1336.4384765625
iter 230: loss 13.853684119672213, worst_drop 0.020928615064967238, total_drop_violation 0.0025604408213559214, tsv_count 1359.7640380859375
